[2022-12-24 10:03:41,934:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:03:41,950:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:03:42,922:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:03:42,922:INFO:mainLog:MainThread] Product created successfully with ID: 519757448 | SKU: 110941
[2022-12-24 10:03:45,235:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo101.jpg
[2022-12-24 10:03:47,519:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:49,897:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:52,243:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:54,641:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:03:54,653:INFO:mainLog:MainThread] Media request with index 105 has been added
[2022-12-24 10:03:54,659:INFO:mainLog:MainThread] Media request with index 106 has been added
[2022-12-24 10:03:54,665:INFO:mainLog:MainThread] Media request with index 107 has been added
[2022-12-24 10:03:54,669:INFO:mainLog:MainThread] Media request with index 108 has been added
[2022-12-24 10:03:54,674:INFO:mainLog:MainThread] Media request with index 109 has been added
[2022-12-24 10:03:54,679:INFO:mainLog:MainThread] Media request with index 110 has been added
[2022-12-24 10:03:54,684:INFO:mainLog:MainThread] Media request with index 111 has been added
[2022-12-24 10:03:54,690:INFO:mainLog:MainThread] Media request with index 112 has been added
[2022-12-24 10:03:54,695:INFO:mainLog:MainThread] Text request with index 113 has been added
[2022-12-24 10:03:55,650:INFO:mainLog:MainThread] Text has been processed
[2022-12-24 10:03:55,872:INFO:mainLog:MainThread] Category processed successfully | Arabic: فساتين محجبات
[2022-12-24 10:03:55,877:INFO:mainLog:MainThread] Options have been populated
[2022-12-24 10:03:55,881:INFO:mainLog:MainThread] Category filling is done
[2022-12-24 10:03:56,829:INFO:mainLog:MainThread] Body request has been sent
[2022-12-24 10:03:56,839:INFO:mainLog:MainThread] Product created successfully with ID: 519756478 | SKU: 110942
[2022-12-24 10:03:59,212:INFO:mainLog:MainThread] Main image upload is successful | Status code: 200 | Reason: OK | Image name: media\photo114.jpg
[2022-12-24 10:04:01,546:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:03,876:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:06,195:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:08,806:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:11,369:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:13,833:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:16,127:INFO:mainLog:MainThread] Gallery image uploaded successfully | Status code: 200 | Reason: OK
[2022-12-24 10:04:16,141:INFO:mainLog:MainThread] Media request with index 121 has been added
[2022-12-24 10:04:16,145:INFO:mainLog:MainThread] Media request with index 122 has been added
[2022-12-24 10:04:16,150:INFO:mainLog:MainThread] Media request with index 123 has been added
[2022-12-24 10:04:16,154:INFO:mainLog:MainThread] Media request with index 124 has been added
[2022-12-24 10:04:16,159:INFO:mainLog:MainThread] Media request with index 125 has been added
[2022-12-24 10:04:16,163:INFO:mainLog:MainThread] Media request with index 126 has been added
[2022-12-24 10:04:16,169:INFO:mainLog:MainThread] Media request with index 127 has been added
[2022-12-24 10:04:16,173:INFO:mainLog:MainThread] Media request with index 128 has been added
[2022-12-24 10:04:16,178:INFO:mainLog:MainThread] Text request with index 129 has been added
